Product_Code,ProductName,Description,New Item Description
PFDHW0006,Fiama Hand Wash Relax 350ml Pouch_PFDHW0006,Fiama Hand Wash Relax 350ml Pouch_PFDHW0006,
PFDSG0206,FIAMA SG P&A(MD)100ml+Loofah Offer_PFDSG0206,FIAMA SG P&A(MD)100ml+Loofah Offer_PFDSG0206,
PFDSG0209,FIAMA Men SG RP 250ml+100mlSG_PFDSG0209,FIAMA Men SG RP 250ml+100mlSG_PFDSG0209,
PFDSG0211,FIAMA SG B&B(ED)100ml+LoofahOffer_PFDSG0211,FIAMA SG B&B(ED)100ml+LoofahOffer_PFDSG0211,
PFDSG0212,FIAMA SG L&Jo(CS)100ml+LoofahOffer_PFDSG0212,FIAMA SG L&Jo(CS)100ml+LoofahOffer_PFDSG0212,
PFDSG0214,Fiama MD 100ml price off_PFDSG0214,Fiama MD 100ml price off_PFDSG0214,
PFDSG0215,Fiama ED 100ml price off_PFDSG0215,Fiama ED 100ml price off_PFDSG0215,
PFDSG0224,Fiama L&J (CS) 500ml_PFDSG0224,Fiama L&J (CS) 500ml_PFDSG0224,
PFDSG0225,Fiama P&A (MD) 500ml_PFDSG0225,Fiama P&A (MD) 500ml_PFDSG0225,
PFDSG0226,FIAMA B&B (ED) 500ml_PFDSG0226,FIAMA B&B (ED) 500ml_PFDSG0226,
PFDSG0229,Fiama AG&AC Gel+Creme BW 200ml OP_PFDSG0229,Fiama AG&AC Gel+Creme BW 200ml OP_PFDSG0229,
PFDSG0230,Fiama BK&AC Gel+Creme BW 200ml OP_PFDSG0230,Fiama BK&AC Gel+Creme BW 200ml OP_PFDSG0230,
PFDSG0278,Fiama L&J 250ml+185ml Pouch Free_PFDSG0278,Fiama L&J 250ml+185ml Pouch Free_PFDSG0278,
PFDSG0279,Fiama P&A 250ml+185ml Pouch Free_PFDSG0279,Fiama P&A 250ml+185ml Pouch Free_PFDSG0279,
PFDSG0280,Fiama B&B 250ml+185ml Pouch Free_PFDSG0280,Fiama B&B 250ml+185ml Pouch Free_PFDSG0280,
PFDSG0281,Fiama P&M 250ml+185ml Pouch Free_PFDSG0281,Fiama P&M 250ml+185ml Pouch Free_PFDSG0281,
PFDSG0282,Fiama RP 250ml+185ml Pouch Free_PFDSG0282,Fiama RP 250ml+185ml Pouch Free_PFDSG0282,
PFDSG0283,Fiama QW 250ml+185ml Pouch Free_PFDSG0283,Fiama QW 250ml+185ml Pouch Free_PFDSG0283,
PFDSG0284,Fiama CB 250ml+185ml Pouch Free_PFDSG0284,Fiama CB 250ml+185ml Pouch Free_PFDSG0284,
PFDSG0285,Fiama L&J 500ml+400ml Pouch Free_PFDSG0285,Fiama L&J 500ml+400ml Pouch Free_PFDSG0285,
PFDSG0286,Fiama P&A 500ml+400ml Pouch Free_PFDSG0286,Fiama P&A 500ml+400ml Pouch Free_PFDSG0286,
PFDSG0287,Fiama B&B 500ml+400ml Pouch Free_PFDSG0287,Fiama B&B 500ml+400ml Pouch Free_PFDSG0287,
PFDSG0299,Fiama Scents M&N 250ml _PFDSG0299,Fiama Scents M&N 250ml _PFDSG0299,
