RowID,TransactionName,IniName,PrintMode,Active,CreationDate,ModifiedDate,GSTFlag,
101,Invoice,Vat Inv HalfPagePrint_JK.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
102,Invoice,Sales Inv FullPagePrint_JK.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
103,Invoice,Sales Inv HalfPagePrint_JK.ini,1,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
104,Invoice,Vat Inv Print_WIN_JK.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
105,Invoice,Sales Inv Print_WIN_JK.ini,2,0,08/12/2011 4:13:08 PM,08/12/2011 4:13:08 PM,,
106,Invoice,FullPagePrint_RJ.ini,1,0,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,,
107,Invoice,HalfPagePrint_RJ.ini,1,0,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,,
108,Invoice,Invoice_Print_WIN_RJ.ini,2,0,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,,
109,Invoice,CG_FullPagePrint_RJ.ini,1,0,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,,
110,Invoice,CG_HalfPagePrint_RJ.ini,1,0,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,,
111,Invoice,CG Full Page Print_RJ_Windows.ini,2,0,08/12/2011 4:15:43 PM,08/12/2011 4:15:43 PM,,
177,DandD,DandD_Without_Batch.ini,1,1,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,,
178,DandD,DandD_Without_Batch_Win.ini,2,1,05/12/2017 8:59:54 PM,05/12/2017 8:59:54 PM,,
